"type","species_orig","comm_name","species","harvest_size_notes","harvest_kg","harvest_mm","harvest_g","harvest_cm","linf_cm","k","fb_linf_cm","fb_k","fb_a","fb_b","harvest_cm_calc","harvest_cm_final","linf_cm_final","harvest_perc_linf"
"Bivalves","American cupped oyster (Crassostrea virginica)","American cupped oyster","Crassostrea virginica","7.6 cm (SeaLifeBase)",NA,76,NA,7.6,NA,NA,9.085,0.55,2.001025,2.1776,NA,7.6,9.085,83.6543753439736
"Finfish","Arapaima (Arapaima gigas)","Arapaima","Arapaima gigas","10-12 kg, 1.2 m tl",11,NA,11000,NA,273.508349761823,0.119579924051373,317,0.1769,0.01663,2.9585,92.7645979548421,92.7645979548421,273.508349761823,33.9165506411865
"Finfish","Atlantic bluefin tuna (Thunnus thynnus)","Atlantic bluefin tuna","Thunnus thynnus","45-90 kg",67.5,NA,67500,NA,376.096303932282,0.101468923843262,337,0.088,0.0232,2.914,165.269790135899,165.269790135899,376.096303932282,43.9434762873012
"Finfish","Atlantic cod (Gadus morhua)","Atlantic cod","Gadus morhua","2-4 kg, 24-36 months",3,NA,3000,NA,104.490612388055,0.165194275571593,110,0.1635,0.0068,3.094,66.7380844123577,66.7380844123577,104.490612388055,63.8699332764052
"Finfish","Atlantic salmon (Salmo salar)","Atlantic salmon","Salmo salar","2 kg",2,NA,2000,NA,123.251890111783,0.274403478828673,120,0.26,0.01072,2.99163,57.7910601338629,57.7910601338629,123.251890111783,46.8885792189064
"Finfish","Barramundi (Lates calcarifer)","Barramundi","Lates calcarifer","0.35-2.0 kg, 0.75-2 yrs",1.175,NA,1175,NA,110.966976271589,0.205448863803007,143,0.125,0.017,2.969,42.6618871321835,42.6618871321835,110.966976271589,38.4455705342187
"Finfish","Bighead carp (Hypophthalmichthys nobilis)","Bighead carp","Hypophthalmichthys nobilis","0.75-1.5 kg",1.125,NA,1125,NA,111.327268956708,0.154618009792534,158.85565,0.168,0.012475,2.955,47.5178565376898,47.5178565376898,111.327268956708,42.6830344290293
"Bivalves","Blue mussel (Mytilus edulis)","Blue mussel","Mytilus edulis","4 cm, 12-15 months",NA,40,NA,4,NA,NA,8.13,0.22,0.00748,2.85,NA,4,8.13,49.20049200492
"Finfish","Catla (Catla catla)","Catla","Gibelion catla","1-2 kg",1.5,NA,1500,NA,NA,NA,115,0.317,0.03862,3.3255,23.9898073161097,23.9898073161097,115,20.8607020140084
"Finfish","Cobia (Rachycentron canadum)","Cobia","Rachycentron canadum","6-10 kg, 8-12 months",8,NA,8000,NA,127.529906103023,0.284588832055529,138.03001,0.272,0.00427,3.09,107.148905330401,107.148905330401,127.529906103023,84.0186499030611
"Finfish","Coho salmon (Oncorhynchus kisutch)","Coho salmon","Oncorhynchus kisutch","2.5-3.5 kg, 10-12 months",3,NA,3000,NA,78.8101685017406,0.485030743323046,80,0.98,0.0112,3,64.4615994694649,64.4615994694649,78.8101685017406,81.7935054510652
"Finfish","Common sole (Solea spp.)","Common sole","Solea solea","350 g, 18 months",0.35,NA,350,NA,38.3250055264887,0.318889680655936,38.05,0.33,0.00737,3.0725,33.2723269851303,33.2723269851303,38.3250055264887,86.8162353222201
"Finfish","Crucian carp (Carassius carassius)","Crucian carp","Carassius carassius","150-400 g",0.275,NA,275,NA,35.4916387465186,0.177452313663111,29.8,0.093,0.0163,3.06,24.0668894944381,24.0668894944381,35.4916387465186,67.8100260918463
"Finfish","European eel (Anguilla anguilla)","European eel","Anguilla anguilla","150-200g (butterflied)",0.175,NA,175,NA,71.2898532719499,0.145864142961333,82,0.131,0.00117,3.139,44.5212264046561,44.5212264046561,71.2898532719499,62.4510001932824
"Finfish","European seabass (Dicentrarchus labrax)","European seabass","Dicentrarchus labrax","400 g",0.4,NA,400,NA,75.1187565189705,0.171500030938308,76.7,0.16,0.00938,3.039,33.3795495384545,33.3795495384545,75.1187565189705,44.4357056549849
"Finfish","Flathead grey mullet (Mugil cephalus)","Flathead grey mullet","Mugil cephalus","0.75-1.0 kg",0.875,NA,875,NA,59.8453880810529,0.243490094344597,58.8,0.3,0.015825,2.8952,43.4623148708633,43.4623148708633,59.8453880810529,72.6243345803008
"Finfish","Giant gourami (Osphronemus goramy)","Giant gourami","Osphronemus goramy","0.7-1.0 kg",0.85,NA,850,NA,25.3820230250994,0.518498178560551,NA,NA,0.017,3.032,35.4643674258315,35.4643674258315,25.3820230250994,139.722383006123
"Finfish","Gilthead seabream (Sparus aurata)","Gilthead seabream","Sparus aurata","350-400 g",0.375,NA,375,NA,56.2913564206841,0.246296319387648,54.6,0.265,0.0153,2.9956,29.1918978323487,29.1918978323487,56.2913564206841,51.858579520074
"Finfish","Grass carp (Ctenopharyngodon idellus)","Grass carp","Ctenopharyngodon idella","1.5-2.5 kg",2,NA,2000,NA,115.130938832693,0.11355273446682,138.709,0.1716,0.0121,2.94,59.5543018583067,59.5543018583067,115.130938832693,51.7274526396855
"Finfish","Greater amberjack (Seriola dumerili)","Greater amberjack","Seriola dumerili","3-5 kg",4,NA,4000,NA,151.519972123109,0.225303248080133,169.3,0.227,0.0225,2.86,68.4891054961171,68.4891054961171,151.519972123109,45.2013715000357
"Bivalves","Grooved carpet shell (Ruditapes decussatus)","Grooved carpet shell","Ruditapes decussatus","30-40 mm",NA,35,NA,3.5,NA,NA,5.37,0.44,0.19275,3.605,NA,3.5,5.37,65.1769087523277
"Finfish","Japanese amberjack (Seriola quinqueradiata)","Japanese amberjack","Seriola quinqueradiata","2-3 kg",2.5,NA,2500,NA,106.676959847085,0.256331834312919,113,0.4415,0.00814,3,67.4691441688534,67.4691441688534,106.676959847085,63.2462194887879
"Bivalves","Japanese carpet shell (Ruditapes philippinarum)","Japanese carpet shell","Ruditapes philippinarum","3.5 cm",NA,35,NA,3.5,NA,NA,5.24,0.33,0.22999,3.0611,NA,3.5,5.24,66.793893129771
"Finfish","Japanese eel (Anguilla japonica)","Japanese eel","Anguilla japonica","150 g - 2 kg",1.075,NA,1075,NA,97.6400445343534,0.0997023188820683,98.2,0.07,0.0003,3.35,90.4698030009444,90.4698030009444,97.6400445343534,92.6564540526338
"Finfish","Mandarin fish (Siniperca chuatsi)","Mandarin fish","Siniperca chuatsi","0.5 kg",0.5,NA,500,NA,71.5831697734535,0.175545242924117,64.3,0.16,0.01075,3.087,32.5091550563631,32.5091550563631,71.5831697734535,45.4145229377913
"Finfish","Meagre (Argyrosomus regius)","Meagre","Argyrosomus regius","800-1200 g",1,NA,1000,NA,133.302237387809,0.116468625835001,171.89999,0.15,0.0182,2.8305,47.2705408427124,47.2705408427124,133.302237387809,35.4611758729831
"Bivalves","Mediterranean mussel (Mytilus galloprovincialis)","Mediterranean mussel","Mytilus galloprovincialis","8-10 cm",NA,90,NA,9,NA,NA,6.14,0.325,NA,NA,NA,9,6.14,146.579804560261
"Finfish","Milkfish (Chanos chanos)","Milkfish","Chanos chanos","250-500 g, 20-40 cm",0.375,NA,375,NA,40.972118307771,0.544992690695047,43.8,0.865,0.0069,3.024,36.801635708008,36.801635708008,40.972118307771,89.8211691950232
"Finfish","Mrigal carp (Cirrhinus mrigala)","Mrigal carp","Cirrhinus mrigala","600-700 g",0.65,NA,650,NA,61.3674027583041,0.175932213458094,99.8,1.339,0.0077,3.355,29.4023676986811,29.4023676986811,61.3674027583041,47.9120288249488
"Finfish","Mud carp (Cirrhinus molitorella)","Mud carp","Cirrhinus molitorella","125-500 g",0.3125,NA,312.5,NA,65.2063756099285,0.158327892728871,60.1,0.117,0.00767,3.133,29.6108297299255,29.6108297299255,65.2063756099285,45.4109424928946
"Bivalves","New Zealand mussel (Perna canaliculus)","New Zealand mussel","Perna canaliculus","90-120 mm",NA,105,NA,10.5,NA,NA,17.235,0.6,0.13502,2.8,NA,10.5,17.235,60.9225413402959
"Finfish","Nile tilapia (Oreochromis niloticus)","Nile tilapia","Oreochromis niloticus","500 g",0.5,NA,500,NA,29.7517303924761,1.97741970688712,26.1,2.9905,0.02081,2.99,29.1820879880761,29.1820879880761,29.7517303924761,98.0853469802077
"Finfish","North African catfish (Clarias gariepinus)","North African catfish","Clarias gariepinus","200-300 g",0.25,NA,250,NA,118.628131852763,0.13557762239993,116,0.14,0.008,2.98,32.2358356897082,32.2358356897082,118.628131852763,27.1738542841744
"Bivalves","Northern quahog (Mercenaria mercenaria)","Northern quahog","Mercenaria mercenaria",">25 mm",NA,30,NA,3,NA,NA,8.18,0.5,0.06151,3.09,NA,3,8.18,36.6748166259169
"Finfish","Orange-spotted grouper (Epinephelus coioides)","Orange-spotted grouper","Epinephelus coioides","350-400 g",0.375,NA,375,NA,93.0919629789621,0.144231230738564,95.45,0.1535,0.0105,3.051,31.0631726689465,31.0631726689465,93.0919629789621,33.3682647512401
"Bivalves","Pacific cupped oyster (Crassostrea gigas)","Pacific cupped oyster","Crassostrea gigas","70-100 g, >75 mm",0.085,NA,85,NA,NA,NA,10.14,2.52,0.1452,2.2446,17.097706394377,17.097706394377,10.14,168.616433869596
"Finfish","Pike-perch (Sander lucioperca)","Pike-perch","Sander lucioperca","1-2 kg",1.5,NA,1500,NA,82.9827661700725,0.163411710757459,89.8,0.14,0.00546,3.114,55.7950374798458,55.7950374798458,82.9827661700725,67.2368975571317
"Finfish","Pompanos nei (Trachinotus spp)","Pompanos nei","Trachinotus blochii","453 g",0.453,NA,453,NA,49.7580392527311,0.431065675945423,NA,NA,0.088,2.572,27.738652107088,27.738652107088,49.7580392527311,55.7470762989631
"Finfish","Rainbow trout (Oncorhynchus mykiss)","Rainbow trout","Oncorhynchus mykiss","450-600 g (USA), 1-2 kg (Europe), 3-5 kg (Scandanavia, Canada, Chile), 30-40 cm (USA?)",3.5,NA,3500,NA,62.671991857935,0.48112071045701,67,0.461,0.01285,2.9995,64.86697459338,64.86697459338,62.671991857935,103.502334408679
"Finfish","Red drum (Sciaenops ocellatus)","Red drum","Sciaenops ocellatus","1 kg",1,NA,1000,NA,94.491800586301,0.350275010538659,95,0.418,0.00846,3.028,47.3413854371641,47.3413854371641,94.491800586301,50.1010512482788
"Finfish","Roho labeo (Labeo rohita)","Roho labeo","Labeo rohita","1-1.5 kg",1.25,NA,1250,NA,87.9836513642361,0.231019146097232,96.6,0.329,0.00866,3.193,41.2899824315139,41.2899824315139,87.9836513642361,46.9291530770654
"Finfish","Sea trout (Salmo trutta)","Sea trout","Salmo trutta","2-3 kg",2.5,NA,2500,NA,52.3172117286902,0.245395056543089,44.7,0.273,0.008065,3.08,60.6598288779701,60.6598288779701,52.3172117286902,115.946218985338
"Finfish","Siberian sturgeon (Acipenser baerii)","Siberian sturgeon","Acipenser baerii","1-2 kg",1.5,NA,1500,NA,160.630393807753,0.0621508393869201,149,0.06,0.0015,3.2563,69.5956462051647,69.5956462051647,160.630393807753,43.3265738540481
"Finfish","Silver carp (Hypophthalmichthys molitrix)","Silver carp","Hypophthalmichthys molitrix","0.75-1.5 kg",1.125,NA,1125,NA,87.7758726196837,0.204386324742559,103,0.2046,0.00838,3.093,45.4891368288036,45.4891368288036,87.7758726196837,51.8241920828283
"Finfish","Striped bass, hybrid (Morone hybrid)","Striped bass, hybrid","Morone saxatilis","0.5-1.0 kg",0.75,NA,750,NA,96.8966821177613,0.169181403509746,100.35,0.194,0.00614,3.153,41.053492429012,41.053492429012,96.8966821177613,42.3683159544291
"Finfish","Striped catfish (Pangasius hypophthalmus)","Striped catfish","Pangasianodon hypophthalmus","2.7-3.3 kg",3,NA,3000,NA,70.0317283905263,0.197021698719602,NA,NA,0.01895,2.875,64.3466478380297,64.3466478380297,70.0317283905263,91.8821358787632
"Finfish","Turbot (Psetta maxima)","Turbot","Scophthalmus maximus","1.5-2 kg",1.75,NA,1750,NA,56.1916598355709,0.252554121928771,54.75,0.2835,0.013,3.11,44.58888274731,44.58888274731,56.1916598355709,79.3514248872285
"Bivalves","Yesso scallop (Patinopecten yessoensis)","Yesso scallop","Mizuhopecten yessoensis","100 mm",NA,100,NA,10,NA,NA,13.35,0.925,0.14439,2.98,NA,10,13.35,74.9063670411985
